Blog	four	looking	second	here	kids	k	music	until	example	want	turn	wrong	fix	re	wasn	service	project	person	tech	came	saying	best	country	asked	much	life	things	had	easy	possible	right	old	people	support	happy	later	team	along	love	working	following	such	data	years	course	didn	internet	million	open	city	future	saw	note	take	going	where	sites	jobs	many	wants	photos	former	technology	being	around	traffic	world	power	favorite	her	series	complete	ad	am	tv	th	large	small	past	hours	experience	social	via	company	science	learn	information	its	always	found	really	try	number	self	also	play	sometimes	set	see	last	whole	community	rules	recent	amp	couple	d	continue	anything	into	link	line	up	us	ago	having	results	video	great	makes	tools	next	process	high	move	doing	could	start	system	haven	face	fact	should	hope	means	stuff	email	ve	android	off	less	web	government	five	does	software	details	chance	above	search	word	work	interview	after	order	office	then	them	they	network	created	another	do	away	hand	photo	thanks	night	security	post	months	available	way	true	together	change	history	extra	live	car	write	product	use	still	half	now	january	year	space	shows	care	ways	than	online	america	only	between	article	comes	these	media	thinking	real	read	early	using	business	your	aren	lot	trying	building	since	month	very	learned	family	put	site	help	soon	actually	event	reason	ask	american	mobile	latest	pretty	during	x	close	won	probably	else	look	while	user	march	game	some	run	step	doesn	e	go	facebook	click	started	point	links	including	him	keep	exactly	need	able	based	she	written	key	police	problem	both	well	page	twitter	home	he	star	friends	companies	likely	even	ever	never	met	call	tell	give	answer	before	personal	better	weeks	went	mean	content	isn	features	matter	seen	don	m	stop	bad	decided	said	against	appeared	three	website	say	if	make	left	human	yes	yet	save	deal	popular	down	digital	finally	did	making	crazy	may	man	maybe	talk	nbsp	group	interesting	thing	think	first	little	anyone	were	shot	show	behind	black	get	enough	reading	across	those	different	pay	same	money	either	images	youtube	again	important	u	public	published	two	share	needs	coming	through	someone	everyone	house	hard	idea	done	least	part	believe	built	build	most	find	please	simple	create	understand	fun	itself	yesterday	big	bit	google	often	back	others	control	ll	day	text	taking	almost	com	thought	add	works	minutes	special	under	every	school	changes	would	phone	must	me	times	end	over	writing	each	got	free	wanted	days	already	top	too	took	though	watch	report	full	news	been	several	pick	gave	everything	no	cool	posts	says	goes	weird	today	local	figure	happened	name	place	given	white	any	ideas	sure	state	review	come	case	myself	good	check	week	without	seems	blog	update	there	program	far	list	design	version	known	rather	short	might	used	friday	feel	story	kind	nothing	his	hit	art	recently	reasons	questions	question	long	called	users	once	issues	apple	heart	app	few	something	six	instead	looks	our	out	york	their	which	who	why	words	view	stories	job	will	let	gets	other	know	because	lead	getting	own	apps	made	book
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PaulStamatiou.com - Technology, Design and Photography	2	23	24	72	1	14	15	42	58	131	20	5	8	120	22	22	7	16	13	15	8	50	2	15	150	27	69	128	34	16	78	29	92	25	14	38	35	26	34	65	10	39	53	28	35	47	7	3	33	5	17	2	18	75	58	100	15	3	70	11	134	1	4	50	86	9	19	18	6	3	6	7	7	20	12	2	35	41	18	23	50	9	23	21	0	17	9	33	42	35	50	30	14	4	121	21	7	70	101	57	10	9	7	14	53	0	80	5	29	135	19	29	299	28	17	57	16	125	47	28	20	56	58	34	13	27	82	47	23	18	4	6	59	4	23	22	83	81	99	33	25	45	0	2	36	18	8	6	28	62	7	77	2	94	2	24	127	148	204	12	18	50	181	34	5	150	13	10	2	155	21	10	76	13	14	32	9	43	18	5	23	38	214	54	17	153	4	32	12	5	8	12	85	8	0	186	34	25	25	79	101	20	29	86	18	84	5	399	5	36	28	21	58	27	56	14	16	25	101	35	12	45	8	14	13	0	109	9	28	24	99	21	27	28	8	55	100	117	1	6	184	38	26	36	12	64	15	24	48	52	12	25	4	43	21	102	35	28	0	2	14	1	14	35	60	88	98	40	20	3	26	4	17	85	22	35	3	14	23	15	6	59	9	82	12	13	9	79	9	15	10	8	119	133	12	7	21	18	2	5	15	37	24	266	78	25	1	15	34	12	7	17	58	8	8	40	15	5	46	2	10	15	0	12	26	61	52	149	28	7	59	28	33	11	13	186	36	23	11	56	49	8	62	10	21	56	5	27	18	1	8	5	53	33	13	15	64	18	19	3	38	28	44	15	65	11	28	37	85	59	11	28	46	6	10	16	2	31	66	75	38	81	17	38	117	55	33	19	14	55	30	33	24	19	3	9	55	2	13	163	29	23	202	32	65	60	19	69	35	11	47	19	22	39	82	20	43	11	3	22	18	76	28	7	6	51	104	6	38	6	18	1	11	9	8	1	28	25	11	4	103	13	43	14	13	44	27	28	71	11	39	39	18	92	20	188	4	22	23	152	44	4	32	8	31	61	0	27	15	23	11	19	17	5	16	8	12	4	36	29	67	15	24	23	3	98	123	70	2	42	55	107	160	4	118	75	18	57	3	17	7	14	155	47	13	106	62	29	4	48	67	38	45	9
Search Engine Roundtable	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	3	0	0	5	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	1	30	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	1	0	1	0	1	0	2	0	0	0	0
Copyblogger	0	1	0	2	0	0	0	0	0	0	0	0	0	2	1	0	1	2	0	0	0	0	0	0	1	2	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	2	2	0	0	0	0	0	5	2	0	0	11	0	0	3	8	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	3	2	0	1	0	0	0	17	1	0	0	0	1	1	0	0	0	0	0	10	2	0	0	3	4	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	1	1	1	13	1	0	2	0	0	1	1	0	0	0	0	1	1	1	0	3	0	0	0	0	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	2	2	5	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	2	0	1	2	0	0	0	0	1	0	1	0	1	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	2	0	0	1	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	2	0	2	0	0	3	4	0	1	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	2	2	4	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0
Joi Ito's Web	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	2	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	3	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2	0	2	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	1	0	2	0	0	1	3	0	1	1	1	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	1	0	0	0	0	2	1	0	1	0	1	1	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	6	3	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	4	0	0	1	0	3	1	0	2	0	0	0	0	0	0	1	1	3	0	0	3	1	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	6
Engadget RSS Feed	0	0	0	1	0	0	0	2	0	0	0	1	0	8	0	0	1	0	2	0	0	4	0	0	0	2	1	1	0	0	1	0	1	0	0	0	2	0	4	2	0	0	1	1	1	0	1	1	0	0	1	0	0	1	0	6	0	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	4	4	0	1	0	0	0	0	0	2	0	0	0	7	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	7	3	0	1	0	1	0	0	0	3	0	0	0	0	3	0	0	0	0	1	0	1	0	0	2	2	3	2	2	1	0	2	1	1	3	0	1	0	1	0	1	2	0	3	0	0	4	0	0	0	0	0	0	1	0	0	1	0	2	1	1	0	1	0	2	0	1	0	0	0	1	0	0	3	0	2	0	0	0	0	4	1	0	3	0	0	1	0	0	1	2	1	0	2	0	8	0	0	0	0	3	0	0	1	0	1	0	2	0	1	3	0	1	0	3	2	1	2	0	0	1	2	0	1	4	0	1	7	6	0	1	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	2	1	0	0	0	2	0	1	1	0	1	1	0	0	0	1	1	0	0	1	0	0	1	0	1	1	0	3	0	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0	1	0	2	1	0	0	0	0	1	1	4	1	0	0	0	2	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	2	0	0	1	1	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	3	1	1	0	3	0	2	3	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	1	2	0	1	1	0	2	0	0	2	4	1	1	0	0	6	0	2	2	4	1	2	0	0	3	0	1	0	0	2	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	2	1	0	0	5	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	3	1	0	2	9	0	2	2	0	0	0	1	1	3	0	3	1	1	0	0	1	0	0	4	0	1	1	1	1	0	0	0	0	0	0
TMZ.com	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	3	1	1	0	0	2	0	1	0	0	0	0	1	3	2	0	0	1	0	0	0	0	1	0	3	0	0	0	0	2	2	0	0	1	0	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	6	3	1	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	4	0	0	0	1	1	0	0	1	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	3	0	2	0	0	0	0	2	1	1	1	0	0	0	1	0	0	2	0	0	0	3	1	0	1	0	0	0	1	0	3	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	8	6	1	0	0	1	0	3	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	1	2	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	2	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	2	0	2	0	1	0	1	8	4	0	1	0	0	1	0	4	0	1	0	0	1	0	0	0	0	0	0	1	4	0	0	0	5	0	0	0	0	0	1	0	0	1	3	2	0	2	0	0	3	0
TUAW: Apple news, reviews and how-tos since 2004 RSS Feed	0	0	0	6	2	0	2	0	0	3	0	0	0	4	0	1	0	0	1	1	1	3	0	0	0	0	1	2	0	1	0	1	2	0	0	0	1	0	0	0	0	1	0	2	0	0	1	1	3	0	2	0	0	0	2	1	0	0	0	0	0	1	0	2	2	0	3	0	4	0	0	0	1	0	1	2	0	0	1	0	0	0	0	5	0	0	0	3	0	0	0	0	1	0	1	0	0	1	2	7	0	0	0	4	1	2	4	0	2	1	0	0	3	4	1	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	3	0	0	1	0	0	2	1	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1	2	0	0	1	1	0	2	0	0	1	0	0	1	0	1	1	1	0	0	3	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	2	0	11	0	0	0	1	0	1	2	1	0	0	2	1	0	0	0	1	1	0	0	0	0	0	4	0	0	4	0	0	4	0	0	1	8	0	0	0	0	0	0	0	1	0	0	1	1	1	1	2	1	0	0	2	0	0	0	0	2	0	0	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	2	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	3	0	0	1	1	0	7	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	2	0	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	2	1	0	0	4	0	1	3	1	0	0	0	1	1	0	1	0	1	0	2	0	0	0	0	0	3	1	2	1	0	0	0	3	0	2	0	0	0	0	0	1	1	0	4	3	1	1	0	0	2	0	4	0	0	0	2	0	0	0	0	0	1	0	0	0	2	1	3	1	0	0	0	2	6	0	0	0	0	4	0	0	0	0	1	0	0	1	1	1	0	0	2	0	0	1	0	0	2	0	0	0	1	0	1	2	0	15	0	15	1	0	0	0	0	7	4	0	1	3	3	0	0	0	0	1	4	1	0	2	2	1	1	0	1	9	0	0
A Consuming Experience (full feed)	0	0	0	16	0	0	0	1	2	9	1	2	6	13	1	0	1	0	1	2	2	4	0	1	1	0	2	12	1	5	10	6	9	2	0	4	0	0	1	7	2	0	1	2	0	5	3	0	29	0	0	0	4	3	2	8	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	1	3	0	0	2	0	0	0	0	6	6	11	3	18	4	0	10	0	1	6	20	0	0	0	0	0	2	1	7	3	6	0	0	2	22	0	0	4	0	1	0	0	5	8	2	0	3	1	8	10	1	2	0	0	13	2	0	1	0	19	0	3	1	1	0	0	1	0	2	0	5	6	20	15	0	13	1	0	34	8	5	3	1	2	16	0	0	0	1	0	3	9	0	1	15	0	0	2	0	3	0	0	0	0	18	4	0	14	0	0	4	0	1	2	5	2	0	19	1	0	0	0	0	1	1	2	0	17	0	54	0	3	7	0	2	0	2	0	0	0	3	2	2	0	0	2	0	0	0	0	1	0	4	8	2	2	3	5	1	2	0	0	14	4	2	7	0	14	0	18	2	1	0	0	0	8	2	8	1	3	0	1	3	0	10	11	5	2	0	0	0	0	0	0	1	13	0	1	0	0	0	1	0	12	2	3	0	0	0	0	3	0	0	0	19	1	5	1	0	0	2	0	0	1	2	54	18	10	0	5	3	7	1	0	8	0	1	2	0	0	15	0	0	0	29	0	0	2	1	10	0	0	3	0	2	0	0	17	2	0	3	4	2	0	17	0	1	0	0	16	1	0	0	0	4	0	0	0	1	0	0	0	1	0	1	3	0	0	1	0	5	9	6	0	1	0	0	3	0	2	13	0	0	9	1	0	8	1	3	2	1	0	0	18	3	4	0	0	5	0	2	2	0	1	12	1	1	12	0	2	4	6	1	1	7	8	3	1	3	0	2	4	0	5	0	1	1	3	10	0	1	1	1	0	0	0	0	1	13	1	1	0	2	0	11	0	6	0	4	1	1	6	0	5	5	1	4	24	7	3	3	0	22	0	1	0	1	2	0	1	0	1	2	0	2	0	2	0	0	0	3	1	2	4	4	1	0	0	1	5	0	4	2	0	6	0	4	16	3	3	0	10	0	0	11	2	2	13	2	14	1	2	3	0	4	0
Latest from Crooks and Liars	0	0	0	8	3	0	1	0	0	4	0	2	0	5	1	0	0	0	0	2	2	1	3	1	1	0	1	2	1	0	2	1	3	1	0	0	2	0	6	0	0	0	0	2	2	0	0	0	2	2	0	1	0	1	0	0	0	0	1	0	0	2	0	3	0	0	2	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	2	0	0	1	2	5	0	0	2	4	0	0	4	0	1	1	0	0	6	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	1	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	0	4	4	8	0	0	1	4	1	0	0	0	2	1	1	0	0	6	0	0	0	0	0	0	0	0	0	2	1	0	4	0	1	0	0	0	0	2	1	6	2	1	0	1	1	0	0	3	8	0	1	0	1	1	2	0	0	0	1	0	0	0	1	0	0	1	1	0	3	1	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	4	0	1	3	0	0	0	0	0	2	0	1	5	0	1	1	0	0	0	0	0	3	0	1	0	1	1	0	14	0	0	0	0	1	0	2	0	0	0	0	2	2	0	0	0	1	0	0	1	0	1	2	0	1	2	3	1	3	2	0	0	0	2	8	0	0	0	1	2	0	0	0	2	0	0	1	0	0	2	0	3	0	0	2	0	0	5	0	1	0	1	0	1	1	2	1	0	0	1	3	0	0	1	0	1	0	0	0	0	2	1	0	0	1	0	0	3	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	2	0	11	0	0	5	1	0	5	0	0	1	0	0	0	0	0	0	3	0	1	4	1	2	4	0	0	0	1	4	0	0	1	1	0	0	0	0	0	0	1	1	0	2	0	1	4	0	4	0	0	2	0	4	0	0	1	0	7	0	0	0	0	0	0	1	0	3	0	1	0	1	0	0	8	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	2	0	1	3	6	0	11	4	4	2	0	0	0	0	5	2	1	3	2	2	1	0	0	0	1	0
